183 82 411 109 104 244 25 82 1554 2|5 41 162 93 4 128 244 2
5 59 154 4 4488 15 1 113 117 2752 2|5 4481 641 15 3140 2
4 42 70 18 6 570 62 6 17379 1099 2|5 81 4 42 105 713 38 4 42 37 10 1650 2
32 13 9108 180 9 20 16 115 94 2|6 153 19 26 272 143
19022 179 1672 1041 23202 179 1672 899 14064 778 7|15793 179 1672 899 19522 179 1672 899 24549 108 53 5 203 17 452 27 433 11 193 17
81 5 118 66 992 10 124 4584 8997 7|538 4 84 520 20 47 17
79 151 4 252 58 132 68 744 11285 7|5 235 48 10 343 231 384 2
51 112 13 30 132 1680 40 26 778 1287 2|12 41 6 199 3166 24 85 19 117 163 2
15 168 26 6 6314 34 300 132 29 247 2|168 6 2005 887 154 24 54
5 39 160 9 11142 4 25 58 166 2|4 32 13 81 6 2042 43 8158 148 7
31 4 46 73 293 24196 4 42 333 68 7|127 129 74 9 20 312 2
51 118 29 296 177 99 245 703 108 13100 2|5 143 128 40 174 3532 33 27 1458 2
15 23 1896 88 36 6 98 1822 23 299 2|6 720 22 11500 11 3365 40 5246 17668 15 7008 22 6 507 1755 2
44 13 4 75 73 51 42 23206 4 7|147 18 88 43 549 15 12 11 6 270
753 4 34 516 75 10 1 523 1182 12906 2|21 22 16 201 3547 7
398 516 20384 211 2990 3106 116 6 7886 2|5 143 5 67 80 4 9 31 12 154 12 506 1533 2
17 16812 97 177 82 20404 761 26 217 2|60 5 317 24 85 2
167 13 12 10 123 761 19 6 169 106 7|5 178 4 84 55 9 290 63 9 12 14
137 60 20 15 2437 170 80 4 47 1 2|5 12947 142 37 9 75 4 683 40 20 2
354 20 38 73 85 24 353 25 174 2678 7|12 22 4 86 18810 10 275 18 169 19 2336 10690 2
17 305 6 362 15 306 272 41 6978 2081 897|76 25 1797 6 1275 2
5 41 2950 1886 16 4 109 27 566 2|6420 79 85 4 59 61 9 203 19 6 4886 7
55 6 401 3316 108 6 3316 18 35 658 2|12 84 29 100 921 984 2
6 94 86 216 16 22 37 285 9 386 2|157 6 2410 70 15 6 1873
31 4 30 126 327 21 2319 6 4121 7|5 39 136 6 2955 22 845 209 2
32 13 822 6 2968 19 3998 3688 1158 573|4 693 55 301 2 1651 86 22 473 10 186 9 345 7
23 15 82 256 43 1 63 62 14842 1067 2|5 351 24 34 348 737 480 19974 19 6230 2
16 11 79 47 723 13 126 1 14525 2|375 78 9 161 6 77 570 2
4 46 4 504 9 161 238 10 207 2|5 46 86 4 43 2
5 78 4 6 244 3032 3035 17512 1 1374|4 80 9 54 163 7
24 109 4457 116 62 6 3539 18 8897 6560 17|83 20 1644 6 987 2
5 107 6 354 9 75 74 233 443 14|24 107 114 1757 19 6 1084 5504 2
4 144 30 10 77 496 25 864 20 61 2|85 6382 474 142 4 46 76 60 76 26 22 162 29 975 25 4 7
12 22 10 123 142 6 3158 1745 190 2236 2|19 3648 76 10 21644 971 76 2028 153 1896 99 19 6 1925 473 6 731 9 6 1976
24 42 9891 70 18 117 249 168 36 2|24 34 171 6 4853 1862 19 6 1270 263 15 348 20 62 6 2874 64 130 45 2
24 135 13 129 74 6 393 9 930 99 2|6 4516 11 91 9 931 2
216 12 290 19 26 226 24 206 12422 7|12 11 5306 9 114 18 6 7555 3416 2
26 123 312 488 9 29 284 19 6 272 2|399 6 120 115 57 1532 12 41 53 57 107 9 314 16 19 2
6 564 4 118 31 41 18759 20 40 236 2|15 32 13 29 713 14
5 145 6 664 558 153 4 111 271 18 2|5 5 271 51 1483 48 2
24 979 19 2554 8303 596 661 3121 1 2|23 6389 36 18 88 2
40 6 1261 18 2113 23 475 245 6 5270|662 19 478 92 6 5067 31 636 99
5 112 13 157 75 4 54 97 47 2|5 234 97 9 4789 16 26 22 37 773 15 5 39 33 233 344 33 236 813 2
12 1420 55 5 125 30 96 1092 25 699 2|1678 5 39 4023 61 6381 26 152 312 2
12 4743 6 18893 4320 67 76 33 82 2838 2|25 10 402 12 13710 100 1078 2 1219 580 1487 720 15 5 17043 6 3852 3225 19 82
6 2298 23 41 581 33 128 19 6 2298 2|60 23 267 9 102 25 10 912 2
32 13 127 32 13 1 192 366 25 20 2|32 13 93 99 1393 2
79 32 13 24 159 19 6 2450 263 7|24 34 29 321 126 553 56 2
32 13 9108 180 9 20 16 115 94 2|4 32 13 157 30 10 201 289 2
23 187 4 23 41 162 90 48 130 2|5 112 13 93 48 6 6304 18 82 959 109 281 2
204 923 166 209 9 50 142 26 1044 2|31 4 80 9 1010 7
24 109 4457 116 62 6 3539 18 8897 6560 17|921 1689 17 10110 108 17 394 2
5338 4 3819 99 19 582 18 6 336 11652 2|35 35 5 39 160 2
4 15 1 69 1134 113 1 6 3817 150 2|9 6014 82 7971 25 501 12541 69 29 372 7241 9 176 695 2
58 24 171 6 184 1219 245 1255 1 2|51 171 48 146 58 407 24 78 10 581 1096 36 64 2
44 24 1270 63 15 50 775 56 127 7|4 42 120 296 826 25 283 2
