183 82 411 109 104 244 25 82 1554 2|4 46 21 9 31 110 7
5 59 154 4 4488 15 1 113 117 2752 2|117 199 169 62 1 2
4 42 70 18 6 570 62 6 17379 1099 2|942 1820 11 8086 41 10 6112 9 1655 7108 2
32 13 9108 180 9 20 16 115 94 2|32 13 119 126 1762 7116 2
19022 179 1672 1041 23202 179 1672 899 14064 778 7|12 11 6 120 115 9 572 1 2
81 5 118 66 992 10 124 4584 8997 7|8930 17 131 4 25 296 20 61 18 6 7743 2
79 151 4 252 58 132 68 744 11285 7|21 85 4 95 27 312 7
51 112 13 30 132 1680 40 26 778 1287 2|35 4 230 13 78 10 2619 2
15 168 26 6 6314 34 300 132 29 247 2|5 187 4 9 54 146 5605 2
5 39 160 9 11142 4 25 58 166 2|410 478 10 492 25 540 2275 699 2
31 4 46 73 293 24196 4 42 333 68 7|57 227 13 30 126 3327 2
51 118 29 296 177 99 245 703 108 13100 2|6 120 156 24 30 3049 22 117 17512 3756 2
15 23 1896 88 36 6 98 1822 23 299 2|16 22 53 4 34 59 9 27 263 25 70 508 17
44 13 4 75 73 51 42 23206 4 7|5 1077 12 452 12 41 27 4709 38 19 6 1389 5 107 54 40 236 207 62 6166
753 4 34 516 75 10 1 523 1182 12906 2|5 39 296 1031 18 114 193 2
398 516 20384 211 2990 3106 116 6 7886 2|5 67 440 5 67 440 180 114 742 45 2
17 16812 97 177 82 20404 761 26 217 2|17 2667 118 120 456 19 1999 2
167 13 12 10 123 761 19 6 169 106 7|51 95 1 11 10 94 969 1 2458 17 18093 117 249 1 5641 2
137 60 20 15 2437 170 80 4 47 1 2|127 32 13 29 645 2
354 20 38 73 85 24 353 25 174 2678 7|12 11 6 408 18 27 1915 19 7737 4839 154 12 11 157 4213 2
17 305 6 362 15 306 272 41 6978 2081 897|5 143 83 12 54 2
5 41 2950 1886 16 4 109 27 566 2|5 34 129 4 6 385 2
55 6 401 3316 108 6 3316 18 35 658 2|331 9 288 5 41 2
6 94 86 216 16 22 37 285 9 386 2|127 32 13 51 34 50 1425 2
31 4 30 126 327 21 2319 6 4121 7|12 41 2881 1 113 6 2305 18 1 2
32 13 822 6 2968 19 3998 3688 1158 573|119 20 10 77 213 2
23 15 82 256 43 1 63 62 14842 1067 2|79 22 57 19 6 3077 7
16 11 79 47 723 13 126 1 14525 2|4 32 13 46 74 14
4 46 4 504 9 161 238 10 207 2|222 16 1 5 515 19 6 858 2 2 2 2 2 2 15 82 1445 234 61 6 97 18 82 326 7
5 78 4 6 244 3032 3035 17512 1 1374|53 6 3151 11 6 2258 12 11 37 1 2
24 109 4457 116 62 6 3539 18 8897 6560 17|47 69 29 1 25 606 2
5 107 6 354 9 75 74 233 443 14|31 4 46 21 26 22 7
4 144 30 10 77 496 25 864 20 61 2|38 5 31 195 28 165 2
12 22 10 123 142 6 3158 1745 190 2236 2|12 11 483 12 1 424 19 666 2
24 42 9891 70 18 117 249 168 36 2|15 57 107 10 1478 33 8260 33 74 3985 16377 2
24 135 13 129 74 6 393 9 930 99 2|17 6 1 18 1166 390 19 5831 2
216 12 290 19 26 226 24 206 12422 7|1162 6 1382 15 2113 18 6 5764 4263 2
26 123 312 488 9 29 284 19 6 272 2|38 12 11 1 998 2
6 564 4 118 31 41 18759 20 40 236 2|57 125 29 4524 40 128 244 2
5 145 6 664 558 153 4 111 271 18 2|23 11 19 6 6237 14
24 979 19 2554 8303 596 661 3121 1 2|3913 19 114 1 5694 4218 1 2
40 6 1261 18 2113 23 475 245 6 5270|5 145 12 11 19 10 123 15042 213 2
5 112 13 157 75 4 54 97 47 2|15 5 1340 9 739 27 203 9 153 86 1354 12 37 9 1333 1534 2
12 1420 55 5 125 30 96 1092 25 699 2|137 17 1297 238 3352 2
12 4743 6 18893 4320 67 76 33 82 2838 2|73 293 2768 25 16 322 7
6 2298 23 41 581 33 128 19 6 2298 2|399 53 23 11 791 471 15 1137 23 172 5512 1150 2
32 13 127 32 13 1 192 366 25 20 2|15 12 11 905 2005 38 120 19 28 326 17
79 32 13 24 159 19 6 2450 263 7|4 66 840 238 177 10 164 2240 1293 2
32 13 9108 180 9 20 16 115 94 2|67 1605 20 21 51 43 36 68 2
