1 6 1790 603 22 104 1562 10 3114 104 2|2 4 242 13 8207 6 13492 104 132 1 3114 2
1 451 17 17 5 80 4 9 460 20 2|2 5 80 4 9 29 6 212 18 27 436 2
1 57 41 33 6 10499 18 10 1161 7044 2|2 74 1 10 213 1178 562 1 428 20 19 2
1 56 5 66 10 77 324 19 6 1 2|2 538 4 59 5 69 756 4 19 27 906 2
1 100 3871 135 13 119 139 9 10 1790 2|2 27 1790 135 13 440 119 139 9 16 3871 14
1 5 35 650 3881 126 12811 18 26 1476 2|2 301 2 1 26 663 41 1794 9 11332 10 3442
1 57 448 20 9 31 114 3223 25 74 2|2 5 351 1 15 5 69 348 150 114 169 2
1 6 1 1 147 549 7113 371 426 184 2|2 100 5239 5799 69 37 5785 236 16838 514 4104 2
1 1 33 6 6642 17 1 38 37 11051 2|2 1 40 10 664 1 17 45 1607 6 2133 2
1 3943 6 948 87 10 273 19 6 1 2|2 6 2098 1003 15 6 1 43 19 6 10276 2
1 36 64 530 48 2566 21 68 6 583 7|2 14131 4952 86 1 976 33 6 5208 18 1 2
1 5 527 77 152 8004 11 1070 114 191 2|2 5 294 16 7842 672 13 708 20 100 1 2
1 5 44 13 90 12 573 4 144 409 61|2 204 12 83 99 54 9 381 15 1751 25 268
1 23 11 1886 4 345 10 8221 18 14591 2|2 10 123 808 6278 1067 10 123 124 507 1067 7
1 1593 2254 5 84 486 48 63 40 114 21428|2 38 5 111 432 12 2 60 4 85 56 2
1 73 59 1459 506 9 332 6 798 4431 7|2 4 46 5 80 9 332 6 798 4431 104 2
1 5 32 13 252 21 74 2717 5116 5558 2|2 53 57 267 9 1697 6 23857 76 10 239 17
1 24 109 55 10 17 10 1598 18 1484 2|2 15 26 322 17 41 997 40 26 362 816 2
1 92 233 8473 5688 15 120 94 22 7399 2|2 16 1 11534 9 20 319 863 19 27 2852 2
1 5 39 37 767 19 10 1915 25 277 2|2 24 42 380 91 1157 38 24 42 91 337 2
1 56 10 156 55 16 118 6561 28 12857 2|2 47 11 140 257 40 27 12857 110 108 56 2
1 26 94 101 936 9 129 4 10 648 2|2 28 648 9 1 1033 29 27 648 9 4 2
1 45 62 6 1 4 66 78 114 1 1|2 9208 4896 1 323 67 68 1380 19 6 272 2
1 57 112 13 157 867 40 6 3879 869 2|2 56 57 11 162 129 74 212 10 419 98 2
1 233 849 2733 18 3192 59 9 26 1465 2|2 114 18 88 43 18964 15 5 46 286 908 2
1 93 48 16 288 346 23 11 10 3764 2|2 487 93 48 53 23 373 9 50 814 266 2
1 206 48 62 82 485 62 793 179 2265 2|2 15 4 93 48 24 9053 63 23 78 146 2
1 21 10 1203 9 1208 298 1375 76 8931 2|2 21 216 6 4853 2508 18 6 64 1 265 7
