183 82 411 109 104 244 25 82 1554 2|183 47 41 128 19 15493 11 603 1347 112 13 55 2
5 59 154 4 4488 15 1 113 117 2752 2|15 1 76 24 36 43 113 6 3661 11300 730 99 2
4 42 70 18 6 570 62 6 17379 1099 2|4 42 16 123 312 86 78 13013 142 113 6 1314 2
32 13 9108 180 9 20 16 115 94 2|53 27 2778 3326 4 110 4 151 5361 705 6895 738 2
19022 179 1672 1041 23202 179 1672 899 14064 778 7|10225 179 1672 899 16947 179 1672 1446 20917 240 2 2821 2
81 5 118 66 992 10 124 4584 8997 7|21 41 16 199 214 24 299 245 2171 1 108 128 2
79 151 4 252 58 132 68 744 11285 7|5 41 2070 282 14381 16 11 36 15 57 41 37 2
51 112 13 30 132 1680 40 26 778 1287 2|35 38 51 303 86 211 1005 41 144 175 24 31 2
15 168 26 6 6314 34 300 132 29 247 2|12 11 37 76 53 5 39 162 119 6 244 1576 2
5 39 160 9 11142 4 25 58 166 2|24 107 9 2356 6 1063 1279 715 15 10033 11 12538 2
31 4 46 73 293 24196 4 42 333 68 7|12 11 580 1236 15 57 11 162 678 12 63 451 2
51 118 29 296 177 99 245 703 108 13100 2|24 101 111 157 1055 12 37 87 6 1 24 30 2
15 23 1896 88 36 6 98 1822 23 299 2|15 23 107 26 258 18 1 115 18 318 62 4 2
44 13 4 75 73 51 42 23206 4 7|51 42 1639 4 15 135 13 83 4 30 10 192 2
753 4 34 516 75 10 1 523 1182 12906 2|1 1 449 3801 1 15 4048 7241 2804 661 5198 7737 2
398 516 20384 211 2990 3106 116 6 7886 2|24 323 100 10292 19 6 8178 10 551 18 231 384 2
17 16812 97 177 82 20404 761 26 217 2|62 26 1128 35 738 43 282 448 68 82 2798 1 2
167 13 12 10 123 761 19 6 169 106 7|2784 143 16 47 41 162 29 100 1 9184 33 1 2
137 60 20 15 2437 170 80 4 47 1 2|60 5 67 80 4 9 46 12 1335 20 116 1141 2
354 20 38 73 85 24 353 25 174 2678 7|72 4 353 1201 547 601 1201 1 208 868 1930 2891 2
17 305 6 362 15 306 272 41 6978 2081 897|17 1091 12 234 841 40 10 3147 15 105 827 1005 2
5 41 2950 1886 16 4 109 27 566 2|38 183 47 11 196 10 115 5 44 290 40 4 2
55 6 401 3316 108 6 3316 18 35 658 2|36 6 1 30 1318 55 16 19 6 19941 18 4080 2
6 94 86 216 16 22 37 285 9 386 2|15 53 4 42 37 285 18 401 16 461 4 6895 2
31 4 30 126 327 21 2319 6 4121 7|60 6 8210 3168 109 6 2965 18 9656 9 19011 6727 2
32 13 822 6 2968 19 3998 3688 1158 573|12 3062 20 120 722 2 722 9 977 6 8633 113 6409
23 15 82 256 43 1 63 62 14842 1067 2|23 12718 20 62 279 15 359 20 97 9 6 629 2
16 11 79 47 723 13 126 1 14525 2|15 1 5011 44 13 29 15924 113 126 575 1 24589 2
4 46 4 504 9 161 238 10 207 2|82 871 22 58 105 261 24 34 83 48 180 878 2
5 78 4 6 244 3032 3035 17512 1 1374|15 1 3912 693 16 101 119 479 6568 1835 82 1909 2
24 109 4457 116 62 6 3539 18 8897 6560 17|24 109 4457 62 6 6560 68 21 10 241 2810 502 17
5 107 6 354 9 75 74 233 443 14|31 4 46 21 6 309 465 156 22 19 27 192 7
4 144 30 10 77 496 25 864 20 61 2|28 256 6 169 57 41 371 107 946 40 10 273 2
12 22 10 123 142 6 3158 1745 190 2236 2|72 101 4 119 10 1162 18 6 720 15 6 1083 7
24 42 9891 70 18 117 249 168 36 2|286 461 4 1 5 39 10844 48 282 1 15 36 2
24 135 13 129 74 6 393 9 930 99 2|127 2415 5 32 13 80 148 261 9 456 9 4 2
216 12 290 19 26 226 24 206 12422 7|108 22 514 1 6 3225 18 1 2951 120 113 288 2
26 123 312 488 9 29 284 19 6 272 2|31 4 81 6 77 2460 62 6 6515 44 165 61 7
6 564 4 118 31 41 18759 20 40 236 2|21 64 31 4 30 9 795 6 2530 18 27 192 7
5 145 6 664 558 153 4 111 271 18 2|4 145 6 2028 152 17145 315 18 2028 152 1047 1885 2
24 979 19 2554 8303 596 661 3121 1 2|343 4261 1 15 36 107 341 40 6 202 51 335 2
40 6 1261 18 2113 23 475 245 6 5270|23 299 104 407 70 169 23 23658 19 244 11080 11 115
5 112 13 157 75 4 54 97 47 2|6 588 16 47 723 13 126 1181 33 219 12 58 17
12 1420 55 5 125 30 96 1092 25 699 2|5 107 10 721 16 1047 41 113 27 535 8135 20 2
12 4743 6 18893 4320 67 76 33 82 2838 2|8061 12 22 18893 108 6924 108 1747 92 22 744 2366 7
6 2298 23 41 581 33 128 19 6 2298 2|128 286 359 293 542 10 169 25 147 606 33 408 2
32 13 127 32 13 1 192 366 25 20 2|5 34 159 15 5 34 24933 828 17 108 35 828 2
79 32 13 24 159 19 6 2450 263 7|4 50 27 414 10 1 9 2591 26 322 11 4079 7
32 13 9108 180 9 20 16 115 94 2|53 27 2778 3326 4 110 4 151 5361 705 6895 738 2
23 187 4 23 41 162 90 48 130 2|26 1465 22 314 113 6 1 1057 37 113 6 4946 2
204 923 166 209 9 50 142 26 1044 2|6 1718 18 6 1 101 111 976 9 10 5361 458 2
24 109 4457 116 62 6 3539 18 8897 6560 17|24 109 4457 62 6 6560 68 21 10 241 2810 502 17
5338 4 3819 99 19 582 18 6 336 11652 2|15 295 11 7533 41 70 4 151 30 170 3838 9 2
4 15 1 69 1134 113 1 6 3817 150 2|1 5 885 12 297 13 20 51 85 12 237 20 2
58 24 171 6 184 1219 245 1255 1 2|24 323 10 4244 18 1 33 6 837 18 426 3745 2
44 24 1270 63 15 50 775 56 127 7|102 24 107 6 2874 63 38 51 1399 10 6220 245 2
